               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1405,             0.15032,            0.054356,           0.0010804,           0.0051237,          0.00049863,          0.00011053,             0.13598,             0.22351,            0.054738,             0.00202,             0.00202,             0.08182
                   1,             0.13263,             0.15359,            0.047635,              0.2101,            0.018077,           0.0043854,          0.00097782,             0.13142,             0.25253,            0.050991,           0.0040491,           0.0040491,            0.063549
                   2,             0.12503,             0.17018,            0.046283,             0.42596,            0.074731,            0.023309,            0.006039,             0.12133,              0.2577,            0.047944,           0.0060746,           0.0060746,            0.045275
                   3,             0.12073,             0.17811,            0.043494,             0.36025,             0.10237,            0.052807,              0.0168,             0.11532,             0.24798,            0.043445,           0.0080938,           0.0080938,            0.026994
                   4,             0.11738,             0.18025,            0.040596,             0.36931,             0.11178,            0.062988,            0.021045,             0.11314,             0.25608,            0.042873,           0.0099645,           0.0099645,           0.0099645
                   5,             0.11423,             0.17776,            0.038629,             0.42894,             0.12816,            0.084242,            0.031935,             0.10947,             0.25874,            0.040745,           0.0099645,           0.0099645,           0.0099645
                   6,             0.11186,             0.18022,            0.037631,             0.29936,             0.15682,            0.095356,            0.038637,             0.10699,             0.24726,            0.039416,           0.0099446,           0.0099446,           0.0099446
                   7,             0.11028,             0.17696,            0.036535,             0.40024,             0.15841,             0.10489,            0.043189,             0.10564,             0.24668,            0.038485,           0.0099203,           0.0099203,           0.0099203
                   8,               0.109,             0.17731,            0.035799,             0.44562,             0.16976,             0.11754,            0.049056,             0.10434,             0.24428,            0.038166,           0.0098916,           0.0098916,           0.0098916
                   9,             0.10778,             0.17798,            0.034898,             0.37929,             0.19162,               0.131,              0.0561,             0.10327,             0.24292,            0.037249,           0.0098586,           0.0098586,           0.0098586
                  10,             0.10689,             0.17773,            0.034679,             0.35354,             0.18631,             0.13629,            0.057715,             0.10361,             0.24365,            0.038142,           0.0098213,           0.0098213,           0.0098213
                  11,             0.10666,             0.17615,            0.034064,              0.4839,             0.18049,             0.14099,            0.062168,             0.10269,             0.24729,            0.038272,           0.0097798,           0.0097798,           0.0097798
                  12,             0.10582,             0.17611,            0.033739,             0.48474,             0.19858,              0.1538,             0.06794,             0.10155,             0.24075,            0.037077,            0.009734,            0.009734,            0.009734
                  13,             0.10502,             0.17374,            0.033126,             0.38712,             0.20138,             0.16207,            0.070137,             0.10152,             0.24203,            0.035956,            0.009684,            0.009684,            0.009684
                  14,             0.10439,              0.1753,            0.032643,             0.39752,             0.22285,             0.17167,            0.077151,             0.10049,              0.2409,            0.035225,           0.0096299,           0.0096299,           0.0096299
                  15,             0.10464,             0.17392,            0.032371,             0.42521,             0.20768,             0.17171,             0.07554,              0.1008,             0.23931,             0.03563,           0.0095717,           0.0095717,           0.0095717
                  16,             0.10393,             0.17268,            0.031916,             0.55021,             0.20215,             0.18683,            0.084517,             0.10004,             0.23971,            0.034831,           0.0095095,           0.0095095,           0.0095095
                  17,             0.10356,             0.17253,             0.03172,             0.43089,             0.21245,             0.18385,            0.083939,            0.099721,             0.23951,            0.035672,           0.0094434,           0.0094434,           0.0094434
                  18,             0.10317,             0.17352,            0.031441,             0.38632,              0.2262,             0.19218,            0.088022,            0.099508,              0.2397,            0.034379,           0.0093733,           0.0093733,           0.0093733
                  19,             0.10269,             0.17152,            0.031317,             0.37556,             0.20591,             0.19539,            0.090837,             0.09916,             0.23696,            0.034185,           0.0092995,           0.0092995,           0.0092995
                  20,             0.10263,             0.17349,            0.031069,             0.42968,             0.22956,             0.20701,            0.097789,            0.098714,             0.23837,             0.03422,           0.0092219,           0.0092219,           0.0092219
                  21,              0.1021,             0.17225,            0.030953,             0.40231,             0.22756,             0.20994,            0.098349,            0.098537,             0.23688,            0.034242,           0.0091406,           0.0091406,           0.0091406
                  22,             0.10192,             0.17374,            0.030678,             0.37947,             0.21706,             0.20449,             0.09588,            0.098652,             0.23717,            0.034163,           0.0090557,           0.0090557,           0.0090557
                  23,             0.10176,             0.17215,            0.030277,             0.42813,             0.22522,             0.21671,             0.10118,            0.098314,             0.23696,            0.034606,           0.0089673,           0.0089673,           0.0089673
                  24,             0.10145,             0.17156,            0.030167,             0.44314,             0.23172,             0.21767,             0.10458,            0.097955,             0.23547,            0.033341,           0.0088755,           0.0088755,           0.0088755
                  25,             0.10124,             0.17097,            0.030009,             0.41455,             0.23036,             0.21787,              0.1033,            0.098033,             0.23714,            0.033251,           0.0087804,           0.0087804,           0.0087804
                  26,             0.10126,             0.17207,            0.029835,             0.32056,             0.24572,             0.23005,             0.11187,            0.097593,             0.23537,             0.03309,            0.008682,            0.008682,            0.008682
                  27,             0.10075,             0.17061,            0.029625,             0.35501,             0.26515,             0.23211,             0.11305,            0.097407,             0.23869,            0.032831,           0.0085805,           0.0085805,           0.0085805
                  28,             0.10061,              0.1694,            0.029412,             0.31327,             0.28274,             0.24012,             0.11517,            0.097329,              0.2344,            0.033168,           0.0084759,           0.0084759,           0.0084759
                  29,             0.10045,             0.16836,            0.029167,             0.37207,             0.25914,              0.2381,             0.11712,            0.097108,             0.23404,            0.032955,           0.0083684,           0.0083684,           0.0083684
                  30,             0.10043,             0.17141,            0.029182,             0.33321,             0.28127,             0.24709,             0.12058,            0.096883,             0.23517,            0.032831,           0.0082581,           0.0082581,           0.0082581
                  31,             0.10027,             0.17086,            0.028799,              0.3286,             0.28553,             0.24003,             0.11988,             0.09695,             0.23563,            0.033294,            0.008145,            0.008145,            0.008145
                  32,             0.10031,              0.1711,            0.028794,             0.35028,             0.27846,             0.24674,             0.12064,            0.096695,             0.23479,            0.032862,           0.0080294,           0.0080294,           0.0080294
                  33,            0.099655,             0.16921,            0.028619,             0.34317,             0.27348,             0.24711,             0.12166,            0.096641,             0.23428,            0.032537,           0.0079112,           0.0079112,           0.0079112
                  34,            0.099693,             0.16972,            0.028658,             0.34421,             0.27383,             0.24913,              0.1222,             0.09666,              0.2344,             0.03236,           0.0077907,           0.0077907,           0.0077907
                  35,            0.099355,             0.16964,             0.02836,             0.31492,             0.29746,             0.25387,             0.12425,            0.096577,             0.23473,            0.032399,           0.0076679,           0.0076679,           0.0076679
                  36,            0.099554,             0.16846,            0.028184,             0.34697,             0.29202,             0.25851,             0.12827,            0.096169,             0.23321,            0.032257,            0.007543,            0.007543,            0.007543
                  37,            0.099387,             0.16924,            0.028294,             0.33573,              0.2899,             0.25624,             0.12833,            0.096206,              0.2343,             0.03251,            0.007416,            0.007416,            0.007416
                  38,            0.099183,             0.16874,            0.027819,             0.36395,               0.294,             0.26587,             0.13311,            0.095962,             0.23289,            0.031878,           0.0072872,           0.0072872,           0.0072872
                  39,            0.098958,             0.16775,             0.02775,             0.34786,             0.30602,             0.26209,             0.13085,            0.095987,             0.23442,            0.032276,           0.0071566,           0.0071566,           0.0071566
                  40,            0.098984,              0.1684,            0.027585,             0.36008,             0.30086,             0.26918,             0.13578,            0.095823,             0.23349,            0.031849,           0.0070243,           0.0070243,           0.0070243
                  41,            0.098561,             0.16814,            0.027625,             0.33988,             0.31685,             0.26986,             0.13595,             0.09579,             0.23332,            0.031718,           0.0068906,           0.0068906,           0.0068906
                  42,            0.098515,             0.16973,            0.027565,             0.37182,             0.29556,             0.26856,              0.1349,            0.095721,             0.23358,            0.031942,           0.0067555,           0.0067555,           0.0067555
                  43,            0.098238,             0.16653,            0.027449,             0.40213,             0.28304,             0.27403,             0.13923,            0.095566,             0.23298,            0.031717,           0.0066191,           0.0066191,           0.0066191
                  44,             0.09827,             0.16655,            0.027318,             0.39221,             0.29629,             0.28072,              0.1436,            0.095435,             0.23284,            0.031615,           0.0064816,           0.0064816,           0.0064816
                  45,            0.098392,             0.16785,            0.027151,             0.37532,             0.29578,             0.27448,             0.13783,            0.095441,             0.23296,            0.031835,           0.0063432,           0.0063432,           0.0063432
                  46,            0.098244,             0.16718,              0.0271,             0.38884,              0.2988,             0.28141,             0.14425,            0.095275,             0.23281,             0.03135,            0.006204,            0.006204,            0.006204
                  47,            0.097772,             0.16592,            0.026833,             0.41775,             0.28757,             0.28372,             0.14395,            0.095245,             0.23301,            0.031392,            0.006064,            0.006064,            0.006064
                  48,            0.097623,             0.16721,            0.026754,             0.34825,             0.32904,             0.28528,              0.1455,            0.095075,             0.23245,              0.0313,           0.0059235,           0.0059235,           0.0059235
                  49,            0.097036,             0.16381,            0.026748,             0.37346,             0.31591,             0.28613,             0.14663,            0.095105,             0.23242,            0.031412,           0.0057826,           0.0057826,           0.0057826
                  50,            0.097455,             0.16555,            0.026773,                0.37,             0.32449,             0.29111,             0.14816,            0.094905,             0.23257,            0.031149,           0.0056413,           0.0056413,           0.0056413
                  51,            0.097608,             0.16637,            0.026467,             0.39158,             0.31686,             0.29395,              0.1498,            0.094897,             0.23232,            0.031098,              0.0055,              0.0055,              0.0055
                  52,            0.097503,             0.16467,            0.026368,             0.38502,              0.3161,             0.29137,             0.15102,            0.094889,              0.2319,            0.031101,           0.0053587,           0.0053587,           0.0053587
                  53,            0.097406,             0.16477,            0.026491,             0.38382,             0.32043,             0.29279,             0.15141,            0.094744,             0.23163,            0.031019,           0.0052174,           0.0052174,           0.0052174
                  54,             0.09721,              0.1648,            0.026283,             0.41436,             0.30539,             0.29671,             0.15291,            0.094712,             0.23168,            0.030934,           0.0050765,           0.0050765,           0.0050765
                  55,            0.096958,             0.16399,            0.026421,             0.37985,             0.32531,             0.29645,             0.15316,             0.09466,             0.23178,             0.03094,            0.004936,            0.004936,            0.004936
                  56,            0.096789,             0.16414,            0.026031,              0.3678,             0.33962,              0.3012,             0.15622,             0.09459,             0.23149,            0.030907,            0.004796,            0.004796,            0.004796
                  57,            0.096728,             0.16216,            0.025924,             0.39799,             0.32082,             0.29673,             0.15356,            0.094533,             0.23141,            0.031134,           0.0046568,           0.0046568,           0.0046568
                  58,            0.096907,             0.16416,            0.025914,             0.37148,              0.3378,             0.29828,             0.15382,            0.094519,             0.23135,            0.030905,           0.0045184,           0.0045184,           0.0045184
                  59,            0.096549,              0.1645,            0.025815,             0.40166,             0.31831,             0.29853,             0.15481,            0.094469,             0.23154,            0.030985,           0.0043809,           0.0043809,           0.0043809
                  60,            0.096791,             0.16251,            0.025817,             0.38601,              0.3283,             0.30454,             0.15735,             0.09442,             0.23211,            0.030876,           0.0042445,           0.0042445,           0.0042445
                  61,            0.096372,              0.1641,             0.02573,             0.39727,             0.33077,             0.30477,             0.15822,             0.09438,             0.23151,            0.030793,           0.0041094,           0.0041094,           0.0041094
                  62,            0.096663,             0.16143,            0.025652,             0.40517,             0.32641,               0.305,             0.15858,            0.094323,             0.23173,            0.030793,           0.0039757,           0.0039757,           0.0039757
                  63,            0.096521,             0.16265,            0.025603,             0.43345,             0.31256,             0.30842,             0.16087,            0.094282,             0.23158,            0.030794,           0.0038434,           0.0038434,           0.0038434
                  64,            0.096159,             0.16133,            0.025451,             0.42462,             0.31736,             0.30791,             0.15967,            0.094268,              0.2317,            0.030752,           0.0037128,           0.0037128,           0.0037128
                  65,            0.096252,             0.16199,            0.025412,             0.40802,             0.32841,             0.30866,             0.16105,            0.094225,             0.23184,            0.030721,            0.003584,            0.003584,            0.003584
                  66,            0.096272,             0.16367,             0.02542,             0.42409,             0.32029,             0.30995,             0.16088,            0.094245,             0.23186,            0.030562,            0.003457,            0.003457,            0.003457
                  67,            0.096417,             0.16197,            0.025403,             0.43267,             0.31559,             0.30865,              0.1605,            0.094223,             0.23183,            0.030772,           0.0033321,           0.0033321,           0.0033321
                  68,            0.096095,             0.16201,            0.025051,             0.42068,             0.32436,              0.3069,             0.15993,            0.094129,             0.23155,            0.030691,           0.0032093,           0.0032093,           0.0032093
                  69,            0.095725,             0.16004,            0.025177,             0.41626,             0.32289,             0.30943,             0.16134,            0.094057,             0.23154,             0.03058,           0.0030888,           0.0030888,           0.0030888
                  70,            0.095607,             0.16187,            0.024854,             0.40723,             0.33013,             0.30835,             0.16186,            0.094054,             0.23143,            0.030668,           0.0029706,           0.0029706,           0.0029706
                  71,            0.095664,             0.15994,            0.024827,             0.39565,             0.34118,             0.31193,             0.16407,            0.094029,             0.23114,            0.030586,            0.002855,            0.002855,            0.002855
                  72,            0.095876,             0.16172,            0.025124,             0.42626,              0.3215,             0.31037,             0.16325,            0.094054,             0.23172,            0.030499,           0.0027419,           0.0027419,           0.0027419
                  73,            0.095657,             0.16128,            0.024915,             0.40348,             0.33517,             0.31124,             0.16318,            0.094034,              0.2319,            0.030532,           0.0026316,           0.0026316,           0.0026316
                  74,            0.095408,             0.16239,            0.024755,             0.41184,             0.33236,              0.3149,             0.16472,            0.094008,             0.23228,              0.0305,           0.0025241,           0.0025241,           0.0025241
                  75,            0.095385,             0.16056,            0.024835,             0.40648,             0.33772,             0.31594,             0.16445,            0.093964,             0.23198,            0.030539,           0.0024195,           0.0024195,           0.0024195
                  76,            0.095373,             0.15843,            0.024739,             0.37726,             0.35368,             0.31417,             0.16442,            0.093976,             0.23241,            0.030687,            0.002318,            0.002318,            0.002318
                  77,             0.09508,             0.15943,            0.024648,             0.43403,             0.32237,             0.31403,             0.16559,            0.093937,              0.2321,            0.030658,           0.0022196,           0.0022196,           0.0022196
                  78,            0.094967,              0.1585,            0.024397,             0.41031,             0.34195,             0.31675,             0.16675,            0.093916,             0.23177,             0.03059,           0.0021245,           0.0021245,           0.0021245
                  79,            0.095285,              0.1602,            0.024571,               0.442,             0.32402,             0.31667,             0.16709,            0.093927,             0.23174,            0.030671,           0.0020327,           0.0020327,           0.0020327
                  80,            0.094994,             0.15857,            0.024391,             0.41985,               0.334,             0.31636,              0.1663,            0.093928,             0.23215,            0.030538,           0.0019443,           0.0019443,           0.0019443
                  81,            0.095214,             0.15796,            0.024445,              0.4096,             0.33714,              0.3152,             0.16647,            0.093895,             0.23211,             0.03053,           0.0018594,           0.0018594,           0.0018594
                  82,            0.095294,             0.15847,            0.024559,             0.41855,              0.3331,             0.31525,             0.16653,            0.093878,             0.23223,            0.030563,           0.0017781,           0.0017781,           0.0017781
                  83,            0.094976,             0.15832,            0.024377,             0.40173,              0.3455,             0.31628,             0.16697,            0.093883,             0.23259,            0.030531,           0.0017005,           0.0017005,           0.0017005
                  84,             0.09493,             0.15674,            0.024334,             0.41699,             0.33675,             0.31807,             0.16805,            0.093841,             0.23256,            0.030498,           0.0016267,           0.0016267,           0.0016267
                  85,            0.095132,             0.15824,            0.024311,             0.41184,             0.33875,             0.31633,             0.16786,            0.093833,             0.23232,            0.030482,           0.0015566,           0.0015566,           0.0015566
                  86,            0.094746,             0.15644,            0.024171,              0.4213,             0.33602,             0.31781,             0.16858,            0.093833,             0.23252,             0.03053,           0.0014905,           0.0014905,           0.0014905
                  87,            0.094949,             0.15993,            0.024232,             0.41097,             0.34211,             0.31794,             0.16773,            0.093826,             0.23254,            0.030473,           0.0014283,           0.0014283,           0.0014283
                  88,            0.094732,             0.15672,            0.024194,             0.39423,             0.35506,             0.31805,             0.16738,             0.09384,             0.23277,            0.030488,           0.0013701,           0.0013701,           0.0013701
                  89,            0.094837,             0.15709,            0.024051,             0.42762,             0.33253,             0.31641,             0.16665,            0.093814,              0.2328,            0.030527,            0.001316,            0.001316,            0.001316
                  90,            0.094718,             0.15928,            0.023972,             0.41393,             0.34084,             0.31736,             0.16786,            0.093796,             0.23261,            0.030485,            0.001266,            0.001266,            0.001266
                  91,            0.094832,             0.15741,            0.023977,             0.43054,             0.33476,             0.31908,             0.16833,            0.093801,             0.23286,            0.030497,           0.0012202,           0.0012202,           0.0012202
                  92,             0.09476,             0.15736,            0.024039,             0.40863,               0.349,             0.31914,              0.1689,            0.093776,              0.2329,            0.030445,           0.0011787,           0.0011787,           0.0011787
                  93,            0.094147,             0.15574,            0.023746,             0.42206,             0.34122,             0.31885,             0.16883,            0.093773,             0.23298,            0.030458,           0.0011414,           0.0011414,           0.0011414
                  94,            0.094371,             0.15544,            0.024131,             0.42056,             0.34456,             0.31769,             0.16844,            0.093777,               0.233,             0.03051,           0.0011084,           0.0011084,           0.0011084
                  95,            0.094523,             0.15574,            0.023969,             0.42096,             0.34381,              0.3185,             0.16881,            0.093762,             0.23305,            0.030458,           0.0010797,           0.0010797,           0.0010797
                  96,            0.094452,             0.15703,            0.023893,             0.43061,             0.33732,             0.31848,             0.16858,             0.09377,              0.2331,            0.030478,           0.0010554,           0.0010554,           0.0010554
                  97,             0.09465,             0.15725,            0.023664,             0.41216,             0.34612,             0.31882,             0.16879,            0.093761,              0.2331,            0.030452,           0.0010355,           0.0010355,           0.0010355
                  98,            0.094476,              0.1571,            0.023939,             0.41022,             0.34652,             0.31894,             0.16879,            0.093764,             0.23331,            0.030474,             0.00102,             0.00102,             0.00102
                  99,            0.094693,             0.15586,            0.023742,             0.41236,             0.34596,             0.31907,             0.16922,            0.093756,             0.23331,             0.03045,           0.0010089,           0.0010089,           0.0010089
